iter	RMSE
0	315107.9077
1	297962.3788
2	281365.1008
3	266526.0422
4	253567.732
5	240678.1802
6	229538.4121
7	219895.7889
8	211190.4919
9	202480.0659
10	195144.3541
11	188145.5826
12	181321.6757
13	174918.3522
14	168782.4804
15	163558.4793
16	159037.5026
17	154932.9067
18	151012.6098
19	147237.0382
20	143863.0637
21	140627.9456
22	137771.775
23	135229.5515
24	132559.7726
25	130241.2169
26	127941.882
27	125974.5336
28	124246.9918
29	122520.5975
30	120831.5213
31	119519.5385
32	118224.217
33	116934.6412
34	115870.0456
35	114744.716
36	113887.7849
37	112910.3292
38	112087.5717
39	111253.0189
40	110360.8201
41	109674.9849
42	108943.9198
43	108315.2376
44	107687.4181
45	107192.8367
46	106707.7601
47	106295.9013
48	105920.7642
49	105456.9532
50	105042.5234
51	104705.9146
52	104377.8207
53	104029.4656
54	103750.6234
55	103431.8498
56	103135.5768
57	102835.9045
58	102570.8394
59	102362.0764
60	102185.1587
61	101980.9665
62	101789.541
63	101616.8289
64	101425.404
65	101297.6644
66	101160.7566
67	101026.1584
68	100857.9816
69	100709.4417
70	100602.0044
71	100495.5689
72	100374.8772
73	100258.4835
74	100140.296
75	100043.243
76	99918.77569
77	99814.7267
78	99713.78611
79	99623.3267
80	99542.32405
81	99445.57005
82	99372.5241
83	99298.59881
84	99238.68979
85	99170.5195
86	99106.70076
87	99047.08148
88	98991.82967
89	98924.62314
90	98852.26066
91	98780.98222
92	98683.52451
93	98593.27497
94	98539.33348
95	98484.01119
96	98431.34755
97	98382.10606
98	98320.14365
99	98265.59886
