iter	Passed	Remaining
0	140	13916
1	143	7019
2	145	4688
3	146	3521
4	148	2815
5	149	2345
6	151	2008
7	152	1755
8	154	1558
9	156	1408
10	158	1278
11	159	1169
12	160	1076
13	162	996
14	163	927
15	164	866
16	166	812
17	167	764
18	169	721
19	171	685
20	172	650
21	174	618
22	175	588
23	177	561
24	178	535
25	179	512
26	181	490
27	182	469
28	184	450
29	186	434
30	188	418
31	189	402
32	190	387
33	192	373
34	193	359
35	195	346
36	196	334
37	197	322
38	198	311
39	200	301
40	203	292
41	204	282
42	206	273
43	207	264
44	208	255
45	210	246
46	211	238
47	213	230
48	214	222
49	216	216
50	218	209
51	219	202
52	221	196
53	222	189
54	223	183
55	225	176
56	226	170
57	227	164
58	228	159
59	230	153
60	232	148
61	234	143
62	236	138
63	237	133
64	238	128
65	240	123
66	241	119
67	242	114
68	244	109
69	245	105
70	247	101
71	249	96
72	250	92
73	251	88
74	253	84
75	254	80
76	255	76
77	257	72
78	258	68
79	259	64
80	261	61
81	263	57
82	265	54
83	266	50
84	268	47
85	269	43
86	270	40
87	272	37
88	273	33
89	274	30
90	276	27
91	278	24
92	280	21
93	281	17
94	282	14
95	284	11
96	285	8
97	286	5
98	288	2
99	289	0
