User_ID,Date,Steps,Calories_Burned,Sleep_Hours,Heart_Rate
U5000,2024-01-01 00:00:00,2281,759.7,9.6,96
U5001,2024-01-01 01:00:00,13948,728.66,4.6,71
U5002,2024-01-01 02:00:00,14479,687.2,7.7,95
U5003,2024-01-01 03:00:00,10320,59.74,4.8,62
U5004,2024-01-01 04:00:00,12844,442.47,9.9,73
U5005,2024-01-01 05:00:00,11274,70.0,9.4,94
U5006,2024-01-01 06:00:00,13626,558.08,4.9,93
U5007,2024-01-01 07:00:00,5815,187.58,9.9,99
U5008,2024-01-01 08:00:00,2176,529.61,7.4,88
U5009,2024-01-01 09:00:00,1505,123.47,8.1,89
U5010,2024-01-01 10:00:00,7223,617.46,5.0,66
U5011,2024-01-01 11:00:00,9416,594.84,4.5,61
U5012,2024-01-01 12:00:00,4838,53.46,9.0,77
U5013,2024-01-01 13:00:00,14520,644.04,4.9,85
U5014,2024-01-01 14:00:00,5052,172.84,9.4,76
U5015,2024-01-01 15:00:00,9371,131.97,5.6,71
U5016,2024-01-01 16:00:00,13706,425.19,3.1,91
U5017,2024-01-01 17:00:00,10520,492.57,7.1,88
U5018,2024-01-01 18:00:00,13943,127.33,5.5,69
U5019,2024-01-01 19:00:00,1741,278.56,9.8,95
U5020,2024-01-01 20:00:00,5409,355.85,5.7,61
U5021,2024-01-01 21:00:00,13081,757.71,5.2,96
U5022,2024-01-01 22:00:00,6453,238.49,7.0,73
U5023,2024-01-01 23:00:00,9499,245.37,8.1,69
U5024,2024-01-02 00:00:00,7183,544.55,9.8,99
U5025,2024-01-02 01:00:00,10458,595.36,3.5,60
U5026,2024-01-02 02:00:00,2268,58.12,5.9,80
U5027,2024-01-02 03:00:00,8989,150.52,7.6,64
U5028,2024-01-02 04:00:00,9049,318.27,3.0,68
U5029,2024-01-02 05:00:00,4680,524.01,6.4,68
U5030,2024-01-02 06:00:00,12220,150.59,8.6,77
U5031,2024-01-02 07:00:00,8312,317.71,3.4,64
U5032,2024-01-02 08:00:00,5047,110.15,5.4,75
U5033,2024-01-02 09:00:00,10245,478.34,5.8,93
U5034,2024-01-02 10:00:00,2643,369.77,8.0,63
U5035,2024-01-02 11:00:00,11220,641.06,5.1,80
