site area,structure type,water consumption,recycling rate,utilisation rate,air qality index,issue reolution time,resident count,electricity cost
1360,2,-0.4696631947776015,69,52,188,1,72,-1.2808664641456526
4272,2,-0.5635903329745668,50,76,165,65,261,0.41569925330973634
3592,2,-0.3819978657937671,20,94,198,39,117,0.2503789517685563
966,3,-1.2013315174503727,13,60,74,3,35,-1.140841072129899
4926,3,1.202239865128382,23,65,32,57,185,1.3217990480955484
3944,0,1.6694671679543125,22,43,194,59,0,0.8692008455155964
3671,3,-0.33286674735227756,24,66,149,18,139,0.7436296875143722
3419,2,1.0148672663662308,17,61,140,21,38,-0.2708768623804104
630,3,-1.2013315174503727,20,82,92,56,41,-1.3079681529228953
2185,3,-0.6377686882685806,32,57,133,52,117,-0.21577009520001705
1269,3,-1.1078860568851867,16,94,191,8,124,-0.19137857530049868
2891,1,0.8539869373519413,78,76,105,25,0,0.7915093376875009
2933,3,0.637232003051252,41,100,181,32,260,1.1763533183243462
1684,0,-0.42872059607636015,53,61,42,70,0,-0.6665615185281529
3885,0,-0.6406587540592564,12,53,182,40,0,0.525009398044615
4617,3,2.2513337471437187,53,43,27,29,175,1.4826024015071881
3404,0,-0.5366163855949255,78,76,57,69,0,0.29554843306396067
974,2,-1.2013315174503727,60,30,14,35,30,-1.7759239791432848
1582,0,-0.5038623066339325,70,48,151,33,0,-0.934868237422855
3058,2,-0.24086631968242941,60,87,106,46,292,-0.5798361144409765
2547,3,0.19697864760496303,42,36,113,72,253,0.22237387336540554
3247,3,0.7846253583757208,29,93,89,31,225,0.8168042472129273
1475,1,-1.2013315174503727,39,47,189,68,0,-0.5120818924978698
2306,3,0.23310446998841125,53,92,192,40,43,-0.5120818924978698
689,0,-0.7182088527757252,38,97,25,69,0,-0.8896987561274506
3234,2,-0.3872963197433395,30,79,109,42,288,-0.3828971759930133
3505,3,0.4932103911492385,62,97,94,44,253,1.4826024015071881
2399,2,-0.5443232277033945,20,45,188,17,87,-1.1218698899858293
1767,3,-0.3723643131581809,19,43,128,20,78,-0.7487699744857889
2028,3,-1.134860004264828,44,91,81,53,126,0.05615018219831738
3702,3,0.061627233074977035,35,36,45,44,82,0.13926202778186147
4056,2,-0.7042402014541252,53,85,0,17,310,-0.11007350896877079
4390,3,2.2792710497869186,13,43,50,27,328,1.924359928576243
1146,2,-0.6796746422333805,83,71,163,23,110,-1.171556319410774
3388,1,0.4493777266573213,66,99,68,58,0,1.0760770698485485
2935,0,-0.3338301026158362,48,91,68,69,0,0.3732399408920562
1100,0,-0.8434450370383457,89,72,127,56,0,-0.5491208671601014
2863,0,-0.2452014183684432,50,86,65,45,0,0.4256365391947253
2561,3,-0.6146481619431736,76,60,98,29,17,-0.7496733641116969
741,0,-1.2013315174503727,45,80,29,14,0,-1.2311800347207078
2541,0,-0.459547964510236,13,96,135,8,0,0.01820781791017769
3324,1,-0.22400760257015356,83,30,1,46,0,0.5737924378436517
3112,1,0.2008320686591975,22,73,99,27,0,0.7779584932988796
1863,2,0.03128154227288053,79,79,102,70,144,-0.5283429057642155
1978,2,-0.607422997466484,16,89,24,7,39,-0.5897734003259654
3056,0,-1.1777293134931865,37,32,146,26,0,-0.09923283345787373
1275,0,-1.063090037129711,68,83,70,42,0,-0.5292462953901236
4514,2,2.799482892108573,46,31,103,30,21,0.4166026429356444
534,3,-1.2013315174503727,24,58,13,6,29,-1.4425732071832003
3652,1,1.0668884505983962,39,45,131,67,0,1.2919871904405815
2455,0,1.0861555558695686,83,88,173,54,0,0.27296369241625845
2085,0,-0.4272755631810222,21,40,32,35,0,-0.6231988164845647
